"ID","FAMILY_ID","TESTSET_QC_ID","TESTSET_NAME","TESTSET_DISPLAY_NAME","TESTSET_LOCATION","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
12236,2050,"1271369","CRM_07_1_Opty","CRM_07_1_Opty","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_07_1_Opty","",17-DEC-14 12.44.09.185000000 PM,"",17-DEC-14 12.44.09.185000000 PM
12237,2050,"1271370","CRM_07_2_Opty","CRM_07_2_Opty","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_07_2_Opty","",17-DEC-14 12.44.16.189000000 PM,"",17-DEC-14 12.44.16.189000000 PM
12238,2050,"1271371","CRM_08_1_PRM","CRM_08_1_PRM","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\CRM\REL92CDRMOVM\CRM_08_1_PRM","",17-DEC-14 12.44.16.673000000 PM,"",17-DEC-14 12.44.16.673000000 PM
12097,2049,"1268490","ATF_ATK_Homepage_HCM","ATK\ATF_ATK_Homepage_HCM","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL92CDRMOVM\ATK\ATF_ATK_Homepage_HCM","",16-DEC-14 02.11.31.488000000 AM,"",16-DEC-14 02.11.31.488000000 AM
12098,2049,"1268491","ATF_ATK_Structure_Pane","ATK\ATF_ATK_Structure_Pane","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL92CDRMOVM\ATK\ATF_ATK_Structure_Pane","",16-DEC-14 02.11.31.847000000 AM,"",16-DEC-14 02.11.31.847000000 AM
12099,2049,"1268492","ATK_Setup","ATK\ATK_Setup","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL92CDRMOVM\ATK\ATK_Setup","",16-DEC-14 02.11.37.635000000 AM,"",16-DEC-14 02.11.37.635000000 AM
12100,2049,"1268493","GettingStarted","ATK\GettingStarted","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\ATF\REL92CDRMOVM\ATK\GettingStarted","",16-DEC-14 02.11.39.335000000 AM,"",16-DEC-14 02.11.39.335000000 AM
12101,2052,"1268545","atk","atk","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\atk","",16-DEC-14 02.12.05.044000000 AM,"",16-DEC-14 02.12.05.044000000 AM
12102,2052,"1268546","crm","crm","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\crm","",16-DEC-14 02.12.06.307000000 AM,"",16-DEC-14 02.12.06.307000000 AM
12103,2052,"1268547","fin","fin","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Central\REL92CDRMOVM\fin","",16-DEC-14 02.12.09.365000000 AM,"",16-DEC-14 02.12.09.365000000 AM
