"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
44315,2052,"16-05-2015","","",15-MAY-15 05.36.33.035000000 PM,"",15-MAY-15 05.36.33.035000000 PM
44316,2053,"16-05-2015","","",15-MAY-15 05.36.54.875000000 PM,"",15-MAY-15 05.36.54.875000000 PM
44317,2055,"16-05-2015","","",15-MAY-15 05.37.44.032000000 PM,"",15-MAY-15 05.37.44.032000000 PM
44318,2056,"16-05-2015","","",15-MAY-15 05.38.04.390000000 PM,"",15-MAY-15 05.38.04.390000000 PM
44319,2057,"16-05-2015","","",15-MAY-15 05.38.11.784000000 PM,"",15-MAY-15 05.38.11.784000000 PM
44320,2058,"16-05-2015","","",15-MAY-15 05.38.32.735000000 PM,"",15-MAY-15 05.38.32.735000000 PM
44321,2059,"16-05-2015","","",15-MAY-15 05.38.52.220000000 PM,"",15-MAY-15 05.38.52.220000000 PM
44322,2060,"16-05-2015","","",15-MAY-15 05.39.44.824000000 PM,"",15-MAY-15 05.39.44.824000000 PM
71596,3538,"29-02-2016","","",28-FEB-16 05.29.30.493000000 PM,"",28-FEB-16 05.29.30.493000000 PM
71597,3539,"29-02-2016","","",28-FEB-16 05.29.50.820000000 PM,"",28-FEB-16 05.29.50.820000000 PM
71598,3540,"29-02-2016","VCP- ThumbsUp
FOS - Thumbs up
PLM -Thumbs up
DOO - Thumbs Up
FOM - Thumbs Up
CZ - Thumbs Up
VIS - Thumbs Up
MFG - Thumbs Up.Bug#22824217,22690461,22670943
PIM - Thumbs Down Bug#22843180,22842948
LOG - Thumbs Down (Bug: 22842671 -- CST)
GBL -- Thumbs Up (known issues)
CST - Thumbs up (known issues)
CML - Thumbs up (Known issues)
RCS/CMK - Thumbs Up","",28-FEB-16 05.30.12.862000000 PM,"",28-FEB-16 05.30.12.862000000 PM
71599,3541,"29-02-2016","","",28-FEB-16 05.30.50.770000000 PM,"",28-FEB-16 05.30.50.770000000 PM
71600,3570,"29-02-2016","","",28-FEB-16 05.30.59.070000000 PM,"",28-FEB-16 05.30.59.070000000 PM
71601,3091,"29-02-2016","","",28-FEB-16 05.31.09.350000000 PM,"",28-FEB-16 05.31.09.350000000 PM
71602,3687,"29-02-2016","","",28-FEB-16 05.31.42.157000000 PM,"",28-FEB-16 05.31.42.157000000 PM
72202,3756,"04-03-2016","","",03-MAR-16 04.54.20.350000000 PM,"",03-MAR-16 04.54.20.350000000 PM
72203,3757,"04-03-2016","","",03-MAR-16 04.54.40.598000000 PM,"",03-MAR-16 04.54.40.598000000 PM
72204,3758,"04-03-2016","","",03-MAR-16 04.54.46.090000000 PM,"",03-MAR-16 04.54.46.090000000 PM
50185,2734,"23-07-2015","","",22-JUL-15 05.10.35.386000000 PM,"",22-JUL-15 05.10.35.386000000 PM
50186,2735,"23-07-2015","","",22-JUL-15 05.11.14.433000000 PM,"",22-JUL-15 05.11.14.433000000 PM
50187,2737,"23-07-2015","","",22-JUL-15 05.13.31.011000000 PM,"",22-JUL-15 05.13.31.011000000 PM
44348,1909,"16-05-2015","","",15-MAY-15 05.50.26.975000000 PM,"",15-MAY-15 05.50.26.975000000 PM
44349,1912,"16-05-2015","","",15-MAY-15 05.50.37.490000000 PM,"",15-MAY-15 05.50.37.490000000 PM
